Property Type,Location,Bedrooms,Bathrooms,Size (sqft),Floor Number,Floor Level,Selling price (BDT),Balcony,Parking,Lift,CCTV,Generator,Source
House,"Shahjalal Uposhahar, Sylhet ",8,7,2100,0,Whole house,"25,000,000",0,1,0,0,0,https://bikroy.com/sylhet-sadar/houses-apartments-for-sale/8bdrm-house-in-shaahjaalaal-upshhr-sylhet-sadar-for-sale-nHVRlQ85gPWMyBkIH5nIR06v.html?page=1&pos=1&cur_pos=1&ads_per_page=24&ads_count=138&lid=5377Ko8yv5tMkDKt&indexPosition=0
Apartment,"Bagbari, Sylhet",4,3,1700,9,9th Floor,"7,600,000",3,1,0,1,0,self
Apartment,"Bagbari, Sylhet",3,3,1600,8,8th Floor,"7,500,000",3,0,0,0,0,self
Apartment,"Shibgonj, Sylhet",3,4,1740,2,2nd Floor,"8,000,000",2,1,1,1,1,self
Apartment,"Subidbazar, Sylhet",3,3,1575,2,2nd Floor,"8,350,000",2,1,1,1,0,Fb market place https://www.facebook.com/share/r/18hULdWuc5/
Apartment,"Subidbazar, Sylhet",3,2,1390,10,10th Floor,"7,360,000",2,1,1,1,1,Fb market place https://www.facebook.com/share/p/1NGBCcahrc/
House,"Majortila, Sylhet",4,3,4356,0,Whole house,"16,500,000",2,1,0,1,0,Fb market place https://www.facebook.com/share/p/1DiK4oxxyk/
Apartment,"Shahporan, Sylhet",3,3,1445,9,9th Floor,"6,500,000",2,1,0,1,1,https://www.bdhousing.com/details/245167/1445-sqft-3-beds-ready-apartment-flats-sale-shahporan
Apartment,"Zindabazar, Sylhet",4,4,1600,10,10th Floor,"10,400,000",3,1,1,1,1,https://www.bdhousing.com/details/246178/1600-sqft-4-beds-almost-ready-apartment-flats-sale-zinda-bazar
Apartment,"Shibgonj, Sylhet",3,3,1567,3,3rd Floor,"9,300,000",2,1,1,1,1,https://www.facebook.com/reel/2038501200431835
House,"Kumarpara, Sylhet",4,4,2000,0,Whole house,"30,000,000",3,2,1,1,0,self
Apartment,"Kumarpara, Sylhet",3,3,1600,3,3rd Floor,"7,000,000",1,0,0,0,0,self
Apartment,"Ambarkhana, Sylhet",3,3,1675,4,4th Floor,"7,500,000",2,0,0,0,0,self
Apartment,"Shahjalal Uposhahar, Sylhet ",3,3,1400,2,2nd Floor,"5,000,000",2,1,0,1,0,self
Duplex,"Mirabazar, Sylhet",5,4,3217,0,Whole house,"27,000,000",3,1,0,1,0,self
House,"Nayasarak, Sylhet",4,4,3519,0,Whole house,"23,000,000",2,1,0,1,0,self
House,"Dargah Gate, Sylhet",5,5,2171,0,Whole house,"14,000,000",2,0,0,0,1,self
House,"Shibgonj, Sylhet",6,6,3896,0,Whole house,"24,000,000",1,0,1,1,0,self
Duplex,"Shahporan, Sylhet",2,2,3593,2,Ground + 2nd Floor,"22,000,000",3,1,0,0,0,self
House,"Chowhatta, Sylhet",2,2,4450,0,Whole house,"20,000,000",3,1,0,1,0,self
House,"Tilagor, Sylhet",3,2,3822,0,Whole house,"15,000,000",1,1,0,0,0,self
House,"Kumarpara, Sylhet",2,2,3445,0,Whole house,"20,000,000",1,1,1,1,1,self
